archivo_origen,codigo_indicador,nombre_indicador,categoria_indicador,ambito,agresor,periodo_medicion,poblacion_objetivo,entidad,anio,valor,unidad,fecha_referencia
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Puebla,2011,39.91,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Querétaro,2011,40.35,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Quintana Roo,2011,40.88,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,San Luis Potosí,2011,39.4,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Sinaloa,2011,30.14,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Sonora,2011,40.93,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Tabasco,2011,35.59,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Tamaulipas,2011,32.45,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Tlaxcala,2011,37.41,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Veracruz,2011,40.23,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Yucatán,2011,38.39,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Zacatecas,2011,35.05,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Aguascalientes,2016,59.14,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Baja California,2016,51.13,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Baja California Sur,2016,40.26,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Campeche,2016,41.22,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Coahuila,2016,50.84,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Colima,2016,47.62,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Chiapas,2016,38.99,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Chihuahua,2016,51.89,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Ciudad de México,2016,70.81,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Durango,2016,51.35,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Guanajuato,2016,52.41,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Guerrero,2016,41.78,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Hidalgo,2016,49.28,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Jalisco,2016,61.29,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Estado de México,2016,63.03,porcentaje,2016-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Michoacán de Ocampo,2016,49.25,porcentaje,2016-01-01
